每半小时时间,城市,区县,订单量,是否节假日,天气,GDP,常驻人口
2019/10/17 3:00,南京市,秦淮区,2187,0,Partly cloudy,800,50
2019/10/17 3:00,南京市,雨花台区,2285,0,Partly cloudy,500,40
2019/10/17 3:00,南京市,高淳区,414,0,Partly cloudy,600,43
2019/10/17 3:00,南京市,鼓楼区,771,0,Partly cloudy,1600,90
2019/10/17 3:30,南京市,六合区,4922,0,Partly cloudy,500,60
2019/10/17 3:30,南京市,建邺区,4608,0,Partly cloudy,500,30
2019/10/17 3:30,南京市,栖霞区,2428,0,Partly cloudy,1000,80
2019/10/17 3:30,南京市,江宁区,7242,0,Partly cloudy,2100,130
2019/10/17 3:30,南京市,浦口区,9020,0,Partly cloudy,400,40
2019/10/17 3:30,南京市,溧水区,2330,0,Partly cloudy,400,50
2019/10/17 3:30,南京市,玄武区,1129,0,Partly cloudy,1200,60
2019/10/17 3:30,南京市,秦淮区,3565,0,Partly cloudy,800,50
2019/10/17 3:30,南京市,雨花台区,2752,0,Partly cloudy,500,40
2019/10/17 3:30,南京市,高淳区,484,0,Partly cloudy,600,43
2019/10/17 3:30,南京市,鼓楼区,1850,0,Partly cloudy,1600,90
2019/10/17 4:00,南京市,六合区,5889,0,Partly cloudy,500,60
2019/10/17 4:00,南京市,建邺区,4967,0,Partly cloudy,500,30
2019/10/17 4:00,南京市,栖霞区,3618,0,Partly cloudy,1000,80
2019/10/17 4:00,南京市,江宁区,9108,0,Partly cloudy,2100,130
2019/10/17 4:00,南京市,浦口区,11326,0,Partly cloudy,400,40
2019/10/17 4:00,南京市,溧水区,3273,0,Partly cloudy,400,50
2019/10/17 4:00,南京市,玄武区,1415,0,Partly cloudy,1200,60
2019/10/17 4:00,南京市,秦淮区,3926,0,Partly cloudy,800,50
2019/10/17 4:00,南京市,雨花台区,4894,0,Partly cloudy,500,40
2019/10/17 4:00,南京市,高淳区,1441,0,Partly cloudy,600,43
2019/10/17 4:00,南京市,鼓楼区,2464,0,Partly cloudy,1600,90
2019/10/17 4:30,南京市,六合区,5747,0,Partly cloudy,500,60
2019/10/17 4:30,南京市,建邺区,4173,0,Partly cloudy,500,30
2019/10/17 4:30,南京市,栖霞区,3454,0,Partly cloudy,1000,80
2019/10/17 4:30,南京市,江宁区,9214,0,Partly cloudy,2100,130
2019/10/17 4:30,南京市,浦口区,10358,0,Partly cloudy,400,40
2019/10/17 4:30,南京市,溧水区,3333,0,Partly cloudy,400,50
2019/10/17 4:30,南京市,玄武区,1282,0,Partly cloudy,1200,60
2019/10/17 4:30,南京市,秦淮区,4472,0,Partly cloudy,800,50
2019/10/17 4:30,南京市,雨花台区,5770,0,Partly cloudy,500,40
2019/10/17 4:30,南京市,高淳区,1704,0,Partly cloudy,600,43
2019/10/17 4:30,南京市,鼓楼区,2170,0,Partly cloudy,1600,90
2019/10/17 5:00,南京市,六合区,6218,0,Cloudy,500,60
2019/10/17 5:00,南京市,建邺区,5068,0,Cloudy,500,30
2019/10/17 5:00,南京市,栖霞区,4691,0,Cloudy,1000,80
2019/10/17 5:00,南京市,江宁区,10341,0,Cloudy,2100,130
2019/10/17 5:00,南京市,浦口区,9988,0,Cloudy,400,40
2019/10/17 5:00,南京市,溧水区,3507,0,Cloudy,400,50
2019/10/17 5:00,南京市,玄武区,1528,0,Cloudy,1200,60
2019/10/17 5:00,南京市,秦淮区,4914,0,Cloudy,800,50
2019/10/17 5:00,南京市,雨花台区,5976,0,Cloudy,500,40
2019/10/17 5:00,南京市,高淳区,2007,0,Cloudy,600,43
2019/10/17 5:00,南京市,鼓楼区,1568,0,Cloudy,1600,90
2019/10/17 5:30,南京市,六合区,7211,0,Cloudy,500,60
2019/10/17 5:30,南京市,建邺区,5441,0,Cloudy,500,30
2019/10/17 5:30,南京市,栖霞区,4969,0,Cloudy,1000,80
2019/10/17 5:30,南京市,江宁区,11832,0,Cloudy,2100,130
2019/10/17 5:30,南京市,浦口区,10823,0,Cloudy,400,40
2019/10/17 5:30,南京市,溧水区,4869,0,Cloudy,400,50
2019/10/17 5:30,南京市,玄武区,1235,0,Cloudy,1200,60
2019/10/17 5:30,南京市,秦淮区,5108,0,Cloudy,800,50
2019/10/17 5:30,南京市,雨花台区,6686,0,Cloudy,500,40
2019/10/17 5:30,南京市,高淳区,4843,0,Cloudy,600,43
2019/10/17 5:30,南京市,鼓楼区,1603,0,Cloudy,1600,90
